"id","user_choice","carrier_1","carrier_2","amount_of_delays_1","amount_of_delays_2","amount_of_flights_1","amount_of_flights_2","chance_of_accident_1","chance_of_accident_2","chance_of_delay_1","chance_of_delay_2","mean_of_delay_1","mean_of_delay_2","number_of_accidents_1","number_of_accidents_2"
"17","1","Virgin","USAirways","145536","1069473","389060","3113545","0.00","0.00","0.37","0.34","13.78","9.55","0","90"
"18","2","Hawaiian","Northwest","283846","1338000","974254","3203925","0.00","0.00","0.29","0.42","4.97","12.10","0","120"
"19","2","9","Spirit","1615","2823656","7800","8540784","0.00","0.00","0.21","0.33","2.97","14.37","0","648"
"20","2","Mesa","Spirit","611135","2823656","1803317","8540784","0.00","0.00","0.34","0.33","13.07","14.37","0","648"
"21","2","Horizon","Comair","25049","512409","88860","1418873","0.00","0.00","0.28","0.36","6.72","14.28","0","81"
"22","1","Mesa","American","611135","248202548","1803317","708665648","0.00","0.00","0.34","0.35","13.07","13.13","0","12540"
"23","1","Delux","USAirways","579635","1069473","1483590","3113545","0.00","0.00","0.39","0.34","14.46","9.55","0","90"
"24","1","Endeavor","Air","1635432","529686","5993664","1482255","0.00","0.00","0.27","0.36","10.87","10.80","279","0"
"25","2","Continental","Mesa","4348960","611135","10412030","1803317","0.00","0.00","0.42","0.34","12.91","13.07","480","0"
"26","2","Allegiant","Delta","406062","294308014","1161735","1020209890","0.00","0.00","0.35","0.29","16.41","9.97","135","16170"
"27","2","Mesa","Atlantic","611135","11143434","1803317","31170774","0.00","0.00","0.34","0.36","13.07","15.97","0","918"
"30","1","Southwest","United","421452433","139137108","1196851644","429971388","0.00","0.00","0.35","0.32","10.22","12.70","12045","10890"
"31","2","United","Continental","139137108","4348960","429971388","10412030","0.00","0.00","0.32","0.42","12.70","12.91","10890","480"
"32","1","Spirit","Delux","2823656","579635","8540784","1483590","0.00","0.00","0.33","0.39","14.37","14.46","648","0"
"33","2","Spirit","Republic","2823656","2947750","8540784","11138260","0.00","0.00","0.33","0.26","14.37","10.67","648","450"
"34","1","Frontier","Mesa","530019","611135","1324472","1803317","0.00","0.00","0.40","0.34","14.50","13.07","0","0"
"35","2","Delux","Continental","579635","4348960","1483590","10412030","0.00","0.00","0.39","0.42","14.46","12.91","0","480"
"36","1","Delta","Allegiant","294308014","406062","1020209890","1161735","0.00","0.00","0.29","0.35","9.97","16.41","16170","135"
"37","1","Endeavor","Jetblue","1635432","18165240","5993664","48988935","0.00","0.00","0.27","0.37","10.87","16.17","279","2475"
"38","2","Air","Sky","529686","2882553","1482255","8819493","0.00","0.00","0.36","0.33","10.80","12.56","0","0"
"39","2","Republic","Endeavor","2947750","1635432","11138260","5993664","0.00","0.00","0.26","0.27","10.67","10.87","450","279"
"40","2","Jetblue","Atlantic","18165240","11143434","48988935","31170774","0.00","0.00","0.37","0.36","16.17","15.97","2475","918"
"41","2","Atlantic","Horizon","11143434","25049","31170774","88860","0.00","0.00","0.36","0.28","15.97","6.72","918","0"
"42","2","Envoy","USAirways","6369892","1069473","17740932","3113545","0.00","0.00","0.36","0.34","13.31","9.55","564","90"
"43","1","Jetblue","Mesa","18165240","611135","48988935","1803317","0.00","0.00","0.37","0.34","16.17","13.07","2475","0"
"44","2","Mesa","Sky","611135","2882553","1803317","8819493","0.00","0.00","0.34","0.33","13.07","12.56","0","0"
"45","2","American","Continental","248202548","4348960","708665648","10412030","0.00","0.00","0.35","0.42","13.13","12.91","12540","480"
"46","2","Southwest","Hawaiian","421452433","283846","1196851644","974254","0.00","0.00","0.35","0.29","10.22","4.97","12045","0"
"47","2","American","Mesa","248202548","611135","708665648","1803317","0.00","0.00","0.35","0.34","13.13","13.07","12540","0"
"48","1","Sky","Delta","2882553","294308014","8819493","1020209890","0.00","0.00","0.33","0.29","12.56","9.97","0","16170"
"49","1","Sky","Delta","2882553","294308014","8819493","1020209890","0.00","0.00","0.33","0.29","12.56","9.97","0","16170"
"50","1","Sky","Delta","2882553","294308014","8819493","1020209890","0.00","0.00","0.33","0.29","12.56","9.97","0","16170"
"51","1","Sky","Delta","2882553","294308014","8819493","1020209890","0.00","0.00","0.33","0.29","12.56","9.97","0","16170"
"52","1","Sky","Delta","2882553","294308014","8819493","1020209890","0.00","0.00","0.33","0.29","12.56","9.97","0","16170"
"53","2","Horizon","Mesa","25049","611135","88860","1803317","0.00","0.00","0.28","0.34","6.72","13.07","0","0"
"54","2","Endeavor","Republic","1635432","2947750","5993664","11138260","0.00","0.00","0.27","0.26","10.87","10.67","279","450"
"55","1","Air","USAirways","529686","1069473","1482255","3113545","0.00","0.00","0.36","0.34","10.80","9.55","0","90"
"56","1","Delta","Continental","294308014","4348960","1020209890","10412030","0.00","0.00","0.29","0.42","9.97","12.91","16170","480"
"57","1","United","Spirit","139137108","2823656","429971388","8540784","0.00","0.00","0.32","0.33","12.70","14.37","10890","648"
"58","1","Air","Envoy","529686","6369892","1482255","17740932","0.00","0.00","0.36","0.36","10.80","13.31","0","564"
"59","1","Endeavor","Jetblue","1635432","18165240","5993664","48988935","0.00","0.00","0.27","0.37","10.87","16.17","279","2475"
"60","2","9","Delta","1615","294308014","7800","1020209890","0.00","0.00","0.21","0.29","2.97","9.97","0","16170"
"61","1","USAirways","Northwest","1069473","1338000","3113545","3203925","0.00","0.00","0.34","0.42","9.55","12.10","90","120"
"62","1","Sky","Delux","2882553","579635","8819493","1483590","0.00","0.00","0.33","0.39","12.56","14.46","0","0"
"63","1","Mesa","Allegiant","611135","406062","1803317","1161735","0.00","0.00","0.34","0.35","13.07","16.41","0","135"
"64","1","Delux","Jetblue","579635","18165240","1483590","48988935","0.00","0.00","0.39","0.37","14.46","16.17","0","2475"
"65","2","Allegiant","Hawaiian","406062","283846","1161735","974254","0.00","0.00","0.35","0.29","16.41","4.97","135","0"
"66","2","9","Envoy","1615","6369892","7800","17740932","0.00","0.00","0.21","0.36","2.97","13.31","0","564"
"67","1","Delux","Atlantic","579635","11143434","1483590","31170774","0.00","0.00","0.39","0.36","14.46","15.97","0","918"
"68","2","Republic","Mesa","2947750","611135","11138260","1803317","0.00","0.00","0.26","0.34","10.67","13.07","450","0"
"69","1","Southwest","Atlantic","421452433","11143434","1196851644","31170774","0.00","0.00","0.35","0.36","10.22","15.97","12045","918"
"70","1","Delta","USAirways","294308014","1069473","1020209890","3113545","0.00","0.00","0.29","0.34","9.97","9.55","16170","90"
"71","2","Endeavor","Mesa","1635432","611135","5993664","1803317","0.00","0.00","0.27","0.34","10.87","13.07","279","0"
"72","1","Delux","Endeavor","579635","1635432","1483590","5993664","0.00","0.00","0.39","0.27","14.46","10.87","0","279"
"73","1","Frontier","Envoy","530019","6369892","1324472","17740932","0.00","0.00","0.40","0.36","14.50","13.31","0","564"
"74","2","Spirit","Southwest","2823656","421452433","8540784","1196851644","0.00","0.00","0.33","0.35","14.37","10.22","648","12045"
"75","1","Hawaiian","Virgin","283846","145536","974254","389060","0.00","0.00","0.29","0.37","4.97","13.78","0","0"
"76","1","Comair","9","512409","1615","1418873","7800","0.00","0.00","0.36","0.21","14.28","2.97","81","0"
"77","1","Hawaiian","Republic","283846","2947750","974254","11138260","0.00","0.00","0.29","0.26","4.97","10.67","0","450"
"78","1","American","Jetblue","248202548","18165240","708665648","48988935","0.00","0.00","0.35","0.37","13.13","16.17","12540","2475"
"79","1","United","Comair","139137108","512409","429971388","1418873","0.00","0.00","0.32","0.36","12.70","14.28","10890","81"
"80","1","Delta","United","294308014","139137108","1020209890","429971388","0.00","0.00","0.29","0.32","9.97","12.70","16170","10890"
"81","2","Allegiant","Virgin","406062","145536","1161735","389060","0.00","0.00","0.35","0.37","16.41","13.78","135","0"
"82","1","USAirways","Spirit","1069473","2823656","3113545","8540784","0.00","0.00","0.34","0.33","9.55","14.37","90","648"
"83","2","Alaska","Envoy","3681525","6369892","11763350","17740932","0.00","0.00","0.31","0.36","7.98","13.31","825","564"
"84","1","Air","American","529686","248202548","1482255","708665648","0.00","0.00","0.36","0.35","10.80","13.13","0","12540"
"85","2","Envoy","Delta","6369892","294308014","17740932","1020209890","0.00","0.00","0.36","0.29","13.31","9.97","564","16170"
"86","1","Republic","Endeavor","2947750","1635432","11138260","5993664","0.00","0.00","0.26","0.27","10.67","10.87","450","279"
"87","2","Delux","Sky","579635","2882553","1483590","8819493","0.00","0.00","0.39","0.33","14.46","12.56","0","0"
"88","1","Sky","Envoy","2882553","6369892","8819493","17740932","0.00","0.00","0.33","0.36","12.56","13.31","0","564"
"89","2","Spirit","American","2823656","248202548","8540784","708665648","0.00","0.00","0.33","0.35","14.37","13.13","648","12540"
"90","1","Delta","American","294308014","248202548","1020209890","708665648","0.00","0.00","0.29","0.35","9.97","13.13","16170","12540"
"91","1","9","Endeavor","1615","1635432","7800","5993664","0.00","0.00","0.21","0.27","2.97","10.87","0","279"
"92","2","Spirit","Alaska","2823656","3681525","8540784","11763350","0.00","0.00","0.33","0.31","14.37","7.98","648","825"
"93","2","United","Delux","139137108","579635","429971388","1483590","0.00","0.00","0.32","0.39","12.70","14.46","10890","0"
"94","1","United","Northwest","139137108","1338000","429971388","3203925","0.00","0.00","0.32","0.42","12.70","12.10","10890","120"
"95","2","Delux","Mesa","579635","611135","1483590","1803317","0.00","0.00","0.39","0.34","14.46","13.07","0","0"
"96","2","Allegiant","American","406062","248202548","1161735","708665648","0.00","0.00","0.35","0.35","16.41","13.13","135","12540"
"97","1","Delta","Southwest","294308014","421452433","1020209890","1196851644","0.00","0.00","0.29","0.35","9.97","10.22","16170","12045"
"98","1","Republic","Alaska","2947750","3681525","11138260","11763350","0.00","0.00","0.26","0.31","10.67","7.98","450","825"
"99","1","Mesa","Envoy","611135","6369892","1803317","17740932","0.00","0.00","0.34","0.36","13.07","13.31","0","564"
"100","1","Envoy","Allegiant","6369892","406062","17740932","1161735","0.00","0.00","0.36","0.35","13.31","16.41","564","135"
"101","2","Continental","Atlantic","4348960","11143434","10412030","31170774","0.00","0.00","0.42","0.36","12.91","15.97","480","918"
"102","1","Allegiant","Horizon","406062","25049","1161735","88860","0.00","0.00","0.35","0.28","16.41","6.72","135","0"
"103","1","Republic","Continental","2947750","4348960","11138260","10412030","0.00","0.00","0.26","0.42","10.67","12.91","450","480"
"104","2","United","Delux","139137108","579635","429971388","1483590","0.00","0.00","0.32","0.39","12.70","14.46","10890","0"
"105","1","Endeavor","Spirit","1635432","2823656","5993664","8540784","0.00","0.00","0.27","0.33","10.87","14.37","279","648"
"106","1","Delux","Virgin","579635","145536","1483590","389060","0.00","0.00","0.39","0.37","14.46","13.78","0","0"
"107","2","9","Air","1615","529686","7800","1482255","0.00","0.00","0.21","0.36","2.97","10.80","0","0"
"108","2","Horizon","Atlantic","25049","11143434","88860","31170774","0.00","0.00","0.28","0.36","6.72","15.97","0","918"
"109","1","Delux","Allegiant","579635","406062","1483590","1161735","0.00","0.00","0.39","0.35","14.46","16.41","0","135"
"110","2","Allegiant","Northwest","406062","1338000","1161735","3203925","0.00","0.00","0.35","0.42","16.41","12.10","135","120"
"111","2","Continental","United","4348960","139137108","10412030","429971388","0.00","0.00","0.42","0.32","12.91","12.70","480","10890"
"112","1","United","Hawaiian","139137108","283846","429971388","974254","0.00","0.00","0.32","0.29","12.70","4.97","10890","0"
"113","1","American","Spirit","248202548","2823656","708665648","8540784","0.00","0.00","0.35","0.33","13.13","14.37","12540","648"
"114","1","Atlantic","Jetblue","11143434","18165240","31170774","48988935","0.00","0.00","0.36","0.37","15.97","16.17","918","2475"
"115","1","Delux","Envoy","579635","6369892","1483590","17740932","0.00","0.00","0.39","0.36","14.46","13.31","0","564"
"116","2","Jetblue","United","18165240","139137108","48988935","429971388","0.00","0.00","0.37","0.32","16.17","12.70","2475","10890"
"117","1","USAirways","Envoy","1069473","6369892","3113545","17740932","0.00","0.00","0.34","0.36","9.55","13.31","90","564"
