dfop_carrier;amount_of_delays;amount_of_flights;mean_of_delay;number_of_accidents;chance_of_delay;chance_of_accident
9,Air,Co,Ltd;1615;7800;2.9719530915000000;0;0.21;0
Air,Large,European,Aviation,Project,Air,Leap;529686;1482255;10.7953195498928571;0;0.36;0
Alaska,Airlines;736305;2352670;7.9841292136181818;5;0.31;0,000002125
Allegiant,Air,LLC;135354;387245;16.4057726575333333;3;0.35;0,000007747
American,Airlines;3265823;9324548;13.1321681026000000;76;0.35;0,000008151
Atlantic,Southeast,Airlines;1857239;5195129;15.9737745960718954;6;0.36;0,000001155
Comair;512409;1418873;14.2817038115185185;1;0.36;0,000000705
Continental,Airlines;434896;1041203;12.9102273261458333;10;0.42;0,000009604
Delta,Air,Lines;3003143;10410305;9.9711175141696970;98;0.29;0,000009414
Delux,Public,Charter,LLC,dba,JSX,Air;579635;1483590;14.4606860386875000;0;0.39;0
Endeavor Air;564892;2043584;0,276422207;3;;0,000043768
Envoy,Air,Inc.;1592473;4435233;13.3083210202624113;4;0.36;0,000000902
Frontier,Airlines.,Inc.;530019;1324472;14.5007393403696970;7;0.40;0,000005285
Hawaiian,Airlines.,Inc.;283846;974254;4.9702215209515152;3;0.29;0,000003079
Horizon,Air,Industries.,Inc.;25049;88860;6.7155234590000000;6;0.28;0,000067522
Jetblue,Airways,Corporation;1211016;3265929;16.1664290212181818;15;0.37;0,000004593
Mesa,Airlines.,Inc.;611135;1803317;13.0667405110598291;10;0.34;0,000005545
Northwest,Airlines,(alternate,site);267600;640785;12.0961147987916667;5;0.42;0,000007803
Republic,Airways,Inc;294775;1113826;10.6705480743111111;10;0.26;0,000008978
Sky,West,Airlines;2882553;8819493;12.5576709282424242;25;0.33;0,000002835
Southwest,Airlines;5773321;16395228;10.2203306872909091;73;0.35;0,000004453
Spirit,Airlines;352957;1067598;14.3665141662469136;8;0.33;0,000007493
United,Airlines,Cargo;2108138;6514718;12.7027992935030303;66;0.32;0,000010131
USAirways;1069473;3113545;9.5546011412111111;1;0.34;0,000000321
Virgin,America;145536;389060;13.7824674474266667;0;0.37;0
